[2023-11-19 18:29:55.383] [CUBE_ENGINE] [info] Initialized Log.
[2023-11-19 18:29:55.403] [CUBE_ENGINE] [info] Window was shown.
[2023-11-19 18:30:10.737] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:10.745] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:10.753] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:10.761] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:10.769] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:10.777] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:10.785] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:10.794] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:10.802] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:10.811] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:10.818] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:10.826] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:10.834] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:10.842] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:10.851] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:10.859] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:10.867] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:10.875] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:10.882] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:10.890] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:10.898] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:10.906] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:10.914] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:10.962] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:10.971] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:10.978] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:10.986] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:10.995] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.003] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.012] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:11.020] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:11.028] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.036] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.044] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.052] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.060] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.068] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.076] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.083] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.091] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.099] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.108] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.116] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.123] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.131] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.139] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.147] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.155] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.163] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.171] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.179] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.187] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.196] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.205] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_diff.tga
[2023-11-19 18:30:11.250] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_spec.tga
[2023-11-19 18:30:11.258] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_ddn.tga
[2023-11-19 18:30:11.266] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:11.274] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:11.282] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_diff.tga
[2023-11-19 18:30:11.286] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_spec.tga
